"LOC_ID","ANIMAL_ID","SO"
6,1,9
7,2,5
5,3,7
5,4,7
7,5,13
7,5,14
5,6,2
5,7,7
5,8,7
1,9,3
2,10,4
6,11,8
5,12,7
6,13,8
6,14,11
7,15,10
7,15,14
5,16,2
2,17,4
7,18,2
7,18,11
7,19,15
6,20,8
7,21,15
7,22,11
5,23,7
3,24,5
3,25,6
5,26,7
3,27,6
6,28,8
6,28,11
6,29,8
6,29,9
5,30,2
5,31,7
6,32,9
6,33,9
6,33,11
7,34,5
6,35,11
1,36,3
5,37,7
2,38,7
6,39,8
7,40,2
7,41,12
7,42,5
5,43,2
7,44,2
7,44,10
5,45,2
7,46,9
7,47,14
7,48,1
7,48,13
5,49,7
3,50,5
2,51,4
5,52,7
5,53,2
2,54,11
7,55,14
6,56,9
7,57,2
5,58,2
7,59,12
7,59,15
7,60,2
4,61,8
1,62,3
3,63,5
2,64,4
4,65,8
7,66,5
3,67,6
3,68,5
3,69,5
3,70,5
2,71,7
3,72,5
1,73,3
3,74,5
3,75,6
7,76,2
5,77,7
7,78,5
5,79,7
5,80,7
5,81,2
5,82,2
5,82,7
7,83,5
7,83,11
2,84,7
5,85,7
6,86,9
7,87,2
5,88,7
7,89,2
5,90,2
1,91,3
4,92,6
1,93,3
3,94,6
3,95,6
3,96,5
3,97,5
3,98,6
6,99,8
2,100,11
2,101,4
4,102,6
7,103,1
7,103,2
7,104,10
7,105,2
7,106,14
7,107,11
7,108,1
7,108,11
7,109,15
7,110,1
7,111,1
7,111,15
7,112,9
7,112,12
7,113,9
7,114,10
7,114,14
7,115,5
7,116,1
7,116,9
7,117,10
7,118,2
7,118,14
7,119,2
7,119,10
7,119,15
7,120,1
7,121,2
7,121,13
7,122,5
7,122,13
7,122,15
2,123,4
2,124,4
2,124,7
2,125,4
4,125,6
2,126,4
2,127,4
2,128,4
2,129,4
2,129,7
2,130,4
2,131,4
2,132,4
2,133,4
2,134,4
2,135,4
2,136,4
2,136,7
2,137,4
3,137,5
2,138,4
2,139,4
2,140,4
2,141,4
2,142,4
2,143,4
2,144,4
2,145,4
2,146,4
2,147,4
2,148,4
2,149,4
2,150,4
2,150,7
2,151,4
2,152,4
2,153,4
2,154,4
2,155,4
2,156,4
2,157,4
2,158,4
2,159,4
2,160,4
2,161,4
2,161,7
2,162,4
2,163,4
2,164,4
2,165,4
2,166,4
2,167,4
2,168,4
2,169,4
2,169,7
2,170,4
2,171,4
2,172,4
2,173,4
2,174,4
2,175,4
2,176,4
2,177,4
2,177,7
2,178,4
2,179,4
2,180,4
2,181,4
2,182,4
2,183,4
2,183,7
2,184,4
2,185,4
2,186,4
2,187,4
2,188,4
2,189,4
2,190,4
2,191,4
2,192,4
2,193,4
2,194,4
2,195,4
2,196,4
2,197,4
2,198,4
2,199,4
2,200,4
2,201,4
2,202,4
2,202,11
2,203,4
2,204,4
2,205,4
2,206,4
2,207,4
2,208,4
2,209,4
2,210,4
2,210,11
2,211,4
2,212,4
2,213,4
2,214,4
2,215,4
2,216,4
2,217,4
2,218,4
2,219,4
2,219,7
2,220,4
2,221,4
7,221,10
2,222,4
2,223,4
2,224,4
2,225,4
2,226,4
2,227,4
2,228,4
2,229,4
2,230,4
2,231,4
2,232,4
2,233,4
2,234,4
2,235,4
2,235,7
2,236,4
2,237,4
2,238,4
2,239,4
2,240,4
2,241,4
2,242,4
2,243,4
2,244,4
2,244,7
2,245,4
2,246,4
2,247,4
2,248,4
2,249,4
2,250,4
2,251,4
2,252,4
2,253,4
2,254,4
2,255,4
2,256,4
2,257,4
2,257,11
2,258,4
2,259,4
2,260,4
2,261,4
2,262,4
2,263,4
2,264,4
2,265,4
2,266,4
2,267,4
2,268,4
2,269,4
2,270,4
2,271,4
2,272,4
2,273,4
2,274,4
2,275,4
2,276,4
2,277,4
1,278,3
1,279,3
2,279,11
1,280,3
7,281,2
1,282,3
1,283,3
1,284,3
7,285,10
7,285,14
2,286,4
1,287,3
1,288,3
7,289,11
1,290,3
2,291,4
1,292,3
1,293,3
2,294,7
1,295,3
1,296,3
2,297,11
2,298,4
1,299,3
7,300,2
7,301,2
2,302,11
1,303,3
3,304,6
5,305,2
3,306,5
2,307,4
1,308,3
7,309,5
4,310,8
7,311,14
2,312,7
7,313,11
6,314,8
1,315,3
7,316,2
1,317,3
1,318,3
7,319,14
7,320,1
7,320,14
1,321,3
2,322,4
7,323,14
1,324,3
1,325,3
7,326,12
2,327,4
7,328,1
7,328,2
2,329,4
1,330,3
1,331,3
1,332,3
1,333,3
1,334,3
5,335,2
1,336,3
1,337,3
1,338,3
1,339,3
6,340,8
2,341,4
4,342,6
2,343,4
7,344,10
7,345,12
1,346,3
7,347,5
1,348,3
1,349,3
7,350,15
7,351,1
2,352,4
7,353,12
7,354,12
1,355,3
4,356,8
1,357,3
1,358,3
6,359,8
7,360,12
7,361,2
1,362,3
2,363,4
2,364,7
1,365,3
2,366,7
2,367,11
1,368,3
5,369,7
1,370,3
1,371,3
1,372,3
2,372,4
2,373,11
1,374,3
7,375,2
7,375,9
5,376,2
5,377,7
5,378,2
5,378,7
5,379,7
7,380,15
5,381,2
5,382,2
5,383,2
4,383,8
5,384,2
5,385,2
5,386,2
5,387,2
5,388,2
5,389,2
5,390,2
5,391,2
5,392,2
5,393,2
5,394,2
5,395,2
5,396,2
5,397,2
5,398,2
5,399,2
5,400,2
5,401,2
5,402,2
5,403,2
7,403,5
5,404,2
5,405,2
5,406,2
5,407,2
5,408,2
5,409,2
5,410,2
5,411,2
5,412,2
5,413,2
7,413,5
5,414,2
5,415,2
3,415,6
5,416,2
5,416,7
5,417,2
5,418,2
5,419,2
5,420,2
5,420,7
5,421,2
7,421,12
5,422,2
5,423,2
5,424,2
5,425,2
5,425,7
5,426,2
5,427,2
5,428,2
5,429,2
5,430,2
5,431,2
5,432,2
5,433,2
5,434,2
5,434,7
5,435,2
5,436,2
5,436,7
5,437,2
5,438,2
5,439,2
5,440,2
5,441,2
5,442,2
5,443,2
5,443,7
5,444,2
5,445,2
5,446,2
5,447,2
5,448,2
5,449,2
5,450,2
5,451,2
5,452,2
5,453,2
5,453,7
5,454,2
5,455,2
5,456,2
5,457,2
5,458,2
5,459,2
4,459,6
5,460,2
5,461,2
5,462,2
5,463,2
5,464,2
5,465,2
5,466,2
5,467,2
5,468,2
5,468,7
5,469,2
5,470,2
5,471,2
5,472,2
5,473,2
5,474,2
5,475,2
5,475,7
5,476,2
5,477,2
5,478,2
5,479,2
5,480,2
5,481,2
5,482,2
5,483,2
5,484,2
5,485,2
5,486,2
5,487,2
5,488,2
5,489,2
6,489,9
5,490,2
5,491,2
5,492,2
5,493,2
1,494,3
1,495,3
1,496,3
1,497,3
1,498,3
1,499,3
1,500,3
1,501,3
1,502,3
1,503,3
1,504,3
1,505,3
1,506,3
1,507,3
1,508,3
1,509,3
1,510,3
1,511,3
1,512,3
1,513,3
1,514,3
1,515,3
1,516,3
1,517,3
3,517,6
1,518,3
1,519,3
2,519,7
1,520,3
1,521,3
1,522,3
1,523,3
1,524,3
1,525,3
1,526,3
1,527,3
1,528,3
1,529,3
1,530,3
3,530,6
1,531,3
1,532,3
1,533,3
1,534,3
1,535,3
1,536,3
1,537,3
1,538,3
1,539,3
1,540,3
1,541,3
1,542,3
1,543,3
1,544,3
1,545,3
1,546,3
1,547,3
1,548,3
1,549,3
1,550,3
1,551,3
1,552,3
7,552,11
1,553,3
2,553,4
1,554,3
1,555,3
1,556,3
1,557,3
1,558,3
1,559,3
1,560,3
1,561,3
1,562,3
1,563,3
1,564,3
1,565,3
7,565,5
1,566,3
1,567,3
1,568,3
1,569,3
1,570,3
1,571,3
1,572,3
1,573,3
1,574,3
1,575,3
1,576,3
1,577,3
1,578,3
1,579,3
1,580,3
1,581,3
1,582,3
1,583,3
1,584,3
1,585,3
1,586,3
2,586,11
1,587,3
1,588,3
1,589,3
1,590,3
1,591,3
1,592,3
1,593,3
1,594,3
1,595,3
1,596,3
1,597,3
1,598,3
1,599,3
1,600,3
1,601,3
1,602,3
2,602,4
1,603,3
1,604,3
1,605,3
1,606,3
1,607,3
2,607,7
1,608,3
1,609,3
1,610,3
1,611,3
1,612,3
1,613,3
1,614,3
2,614,11
1,615,3
1,616,3
1,617,3
1,618,3
1,619,3
1,620,3
1,621,3
1,622,3
1,623,3
1,624,3
1,625,3
1,626,3
1,627,3
1,628,3
1,629,3
1,630,3
1,631,3
1,632,3
1,633,3
1,634,3
1,635,3
1,636,3
1,637,3
1,638,3
1,639,3
1,640,3
1,641,3
1,642,3
1,643,3
1,644,3
2,644,11
1,645,3
1,646,3
2,646,7
1,647,3
1,648,3
1,649,3
1,650,3
1,651,3
1,652,3
1,653,3
1,654,3
1,655,3
1,656,3
1,657,3
1,658,3
1,659,3
2,659,4
1,660,3
1,661,3
1,662,3
1,663,3
1,664,3
1,665,3
2,666,4
2,667,4
2,668,4
2,669,4
2,670,4
2,671,4
2,672,4
2,673,4
2,674,4
2,675,4
2,676,4
2,677,4
2,678,4
2,678,7
1,679,3
1,680,3
1,681,3
1,682,3
1,683,3
1,684,3
1,685,3
1,686,3
1,687,3
1,688,3
1,689,3
1,690,3
1,691,3
1,692,3
1,693,3
1,694,3
1,695,3
1,696,3
2,696,4
1,697,3
1,698,3
1,699,3
1,700,3
1,701,3
1,702,3
1,703,3
1,704,3
1,705,3
1,706,3
1,707,3
1,708,3
1,709,3
1,710,3
1,711,3
1,712,3
1,713,3
1,714,3
1,715,3
1,716,3
1,717,3
1,718,3
1,719,3
1,720,3
1,721,3
1,722,3
1,723,3
1,724,3
1,725,3
1,726,3
7,726,9
1,727,3
3,727,5
1,728,3
1,729,3
1,730,3
1,731,3
1,732,3
1,733,3
1,734,3
1,735,3
1,736,3
1,737,3
1,738,3
1,739,3
1,740,3
1,741,3
2,742,4
2,743,4
2,744,4
2,745,4
2,746,4
2,747,4
2,748,4
2,749,4
2,750,4
2,751,4
2,752,4
2,752,11
2,753,4
2,754,4
2,755,4
2,756,4
2,757,4
2,758,4
2,758,7
2,759,4
2,760,4
2,761,4
2,762,4
2,763,4
2,764,4
2,765,4
2,766,4
2,767,4
2,767,11
2,768,4
2,769,4
2,770,4
2,771,4
2,772,4
2,772,11
2,773,4
2,774,4
2,774,7
2,775,4
2,776,4
2,777,4
2,778,4
2,779,4
2,780,4
2,781,4
2,782,4
2,783,4
2,784,4
2,785,4
2,786,4
2,786,11
2,787,4
2,788,4
2,789,4
2,790,4
2,790,11
2,791,4
2,792,4
2,793,4
2,794,4
2,795,4
2,796,4
2,797,4
2,798,4
2,799,4
2,800,4
2,801,4
2,802,4
2,803,4
2,804,4
2,805,4
2,806,4
2,807,4
2,808,4
2,809,4
2,810,4
2,811,4
2,812,4
2,813,4
2,814,4
2,815,4
2,816,4
2,817,4
2,818,4
2,819,4
2,819,7
2,820,4
2,821,4
2,822,4
2,823,4
2,824,4
2,825,4
2,826,4
2,827,4
2,828,4
2,829,4
2,830,4
2,831,4
2,832,4
2,833,4
2,833,11
2,834,4
2,835,4
2,836,4
3,836,5
2,837,4
2,838,4
2,839,4
2,840,4
2,841,4
2,842,4
2,843,4
2,844,4
2,845,4
2,846,4
2,847,4
4,847,6
2,848,4
2,849,4
2,850,4
2,851,4
2,852,4
2,853,4
2,854,4
3,854,5
2,855,4
2,856,4
2,857,4
2,858,4
2,859,4
2,860,4
2,861,4
2,862,4
2,863,4
2,863,11
2,864,4
2,865,4
2,866,4
2,867,4
2,868,4
2,868,11
2,869,4
2,870,4
2,871,4
2,872,4
2,873,4
2,873,11
2,874,4
2,875,4
2,876,4
2,877,4
2,878,4
2,879,4
2,880,4
2,881,4
2,881,11
2,882,4
2,883,4
2,884,4
2,885,4
2,886,4
2,887,4
2,888,4
2,888,11
2,889,4
2,890,4
2,891,4
2,892,4
2,893,4
2,894,4
2,895,4
2,896,4
2,897,4
2,898,4
2,899,4
7,899,5
2,900,4
2,901,4
3,901,5
2,902,4
2,903,4
2,904,4
2,905,4
2,906,4
2,907,4
2,908,4
2,908,11
2,909,4
2,910,4
2,911,4
2,911,11
2,912,4
2,913,4
2,914,4
2,914,7
2,915,4
2,916,4
2,917,4
2,918,4
2,918,11
2,919,4
2,920,4
2,921,4
2,922,4
2,922,7
2,923,4
2,924,4
2,925,4
2,926,4
2,927,4
2,928,4
2,929,4
2,930,4
2,931,4
2,932,4
2,933,4
2,933,11
2,934,4
2,935,4
2,936,4
2,937,4
2,938,4
2,939,4
2,940,4
2,941,4
2,942,4
2,943,4
2,944,4
2,945,4
2,946,4
2,947,4
2,948,4
2,949,4
2,950,4
2,951,4
2,952,4
2,953,4
2,953,11
2,954,4
2,955,4
2,956,4
2,957,4
2,958,4
2,959,4
2,960,4
2,961,4
2,962,4
2,962,11
2,963,4
2,964,4
7,964,12
2,965,4
2,966,4
2,967,4
2,968,4
2,968,11
2,969,4
2,970,4
2,971,4
2,972,4
2,973,4
2,974,4
2,975,4
2,976,4
2,977,4
2,978,4
7,979,11
7,980,9
7,981,2
7,982,9
7,983,9
7,984,5
7,985,14
7,986,5
7,987,12
7,987,13
7,987,14
7,988,2
7,988,11
7,988,12
7,988,13
7,989,2
7,990,2
7,991,5
7,992,1
7,992,5
7,993,11
7,994,1
7,995,5
7,996,9
7,996,13
7,997,2
7,998,11
7,999,11
7,1000,10
7,1001,10
7,1002,2
7,1002,9
7,1003,5
7,1003,12
7,1004,5
7,1005,5
7,1006,2
7,1007,11
7,1007,12
7,1007,14
7,1008,2
7,1008,12
6,1009,8
7,1010,12
7,1011,5
7,1012,13
7,1013,14
7,1014,15
7,1015,1
7,1016,11
7,1017,1
7,1018,5
7,1018,11
7,1018,14
7,1019,5
7,1019,9
7,1020,2
7,1021,9
7,1022,9
7,1022,12
7,1023,12
7,1024,9
7,1025,12
7,1026,12
7,1026,13
7,1027,1
7,1028,2
7,1029,13
7,1030,1
7,1030,5
7,1031,5
7,1032,1
7,1033,2
7,1034,1
2,1035,4
7,1035,11
7,1036,5
7,1037,1
7,1038,10
7,1039,5
7,1039,14
7,1040,2
7,1041,12
7,1041,14
7,1041,15
7,1042,5
7,1043,14
7,1044,13
7,1044,14
1,1045,3
7,1046,10
7,1047,12
7,1047,14
7,1048,11
7,1049,12
7,1050,11
7,1050,15
7,1051,1
7,1052,9
7,1053,12
7,1053,15
7,1054,12
7,1054,13
7,1054,15
7,1055,12
7,1056,11
7,1057,5
7,1058,9
7,1058,11
7,1059,5
7,1059,10
6,1060,8
7,1061,12
7,1061,14
7,1062,11
7,1063,5
7,1063,12
7,1064,10
7,1064,13
7,1065,1
7,1065,12
7,1066,5
7,1066,13
7,1066,15
7,1067,10
7,1068,11
7,1069,12
7,1070,12
7,1071,13
7,1072,14
7,1073,12
7,1074,2
7,1074,5
7,1075,12
7,1076,5
7,1077,9
7,1077,12
7,1077,15
7,1078,14
7,1079,5
7,1080,10
7,1081,9
7,1081,10
7,1081,12
7,1082,2
7,1083,1
1,1083,3
7,1084,10
7,1085,1
7,1086,2
7,1087,2
7,1088,15
7,1089,12
7,1090,9
7,1090,11
7,1091,1
7,1092,11
7,1093,12
7,1094,5
7,1094,14
7,1095,14
7,1096,9
7,1097,2
7,1098,9
7,1099,10
7,1099,12
7,1100,5
7,1101,2
7,1102,1
7,1103,12
7,1104,9
7,1105,1
7,1106,13
7,1107,1
7,1107,11
7,1107,14
7,1108,13
7,1109,10
7,1110,9
7,1110,11
7,1110,15
7,1111,2
7,1111,10
7,1111,11
7,1112,1
7,1112,2
7,1113,2
7,1113,9
7,1113,12
7,1114,9
7,1114,11
7,1114,14
7,1115,1
7,1116,12
7,1117,12
7,1118,9
7,1118,14
7,1119,13
7,1119,15
7,1120,1
7,1120,5
7,1121,5
7,1122,11
7,1123,1
7,1123,11
7,1124,5
7,1124,9
7,1125,14
7,1125,15
7,1126,9
7,1127,9
7,1128,10
7,1129,14
7,1130,2
7,1131,5
7,1131,14
7,1132,5
7,1133,12
7,1133,14
7,1133,15
4,1134,8
7,1135,5
7,1136,2
7,1137,2
7,1138,13
7,1138,14
7,1139,10
7,1140,2
7,1141,5
7,1141,12
7,1142,2
7,1143,2
7,1143,10
7,1144,1
7,1144,12
7,1145,12
7,1145,13
7,1146,2
7,1146,11
7,1147,5
7,1148,11
7,1148,12
7,1149,1
7,1149,2
7,1149,9
7,1149,10
7,1150,2
7,1150,10
7,1151,9
7,1152,5
7,1152,10
7,1153,12
7,1153,13
7,1153,14
7,1153,15
7,1154,12
1,1155,3
7,1156,11
7,1156,13
7,1157,12
7,1158,5
7,1159,5
7,1160,2
7,1160,5
7,1161,1
7,1162,5
7,1163,5
7,1164,5
7,1165,5
7,1166,11
7,1167,5
7,1168,12
7,1169,1
7,1169,2
7,1170,10
7,1170,12
7,1171,13
1,1172,3
7,1173,5
7,1174,1
7,1175,5
7,1175,10
7,1175,12
7,1176,12
7,1176,14
7,1177,14
7,1178,9
7,1179,2
7,1179,14
2,1180,4
7,1181,15
7,1182,2
7,1182,10
7,1182,11
7,1182,12
7,1183,5
7,1183,11
7,1184,2
7,1185,14
7,1186,2
1,1187,3
7,1188,10
7,1189,2
7,1189,11
7,1190,1
7,1191,9
7,1192,2
7,1192,15
2,1193,11
7,1194,11
7,1195,1
7,1195,11
7,1196,11
7,1197,10
7,1197,12
7,1198,5
7,1199,9
7,1200,1
7,1200,2
7,1201,11
7,1202,11
7,1203,14
7,1204,1
7,1205,5
7,1206,5
7,1207,5
7,1207,13
7,1208,10
7,1208,11
7,1209,2
7,1210,11
7,1211,2
7,1211,11
7,1212,5
7,1213,1
7,1213,2
7,1213,9
7,1214,2
7,1215,2
7,1216,9
7,1217,13
7,1217,14
7,1218,5
7,1218,11
7,1219,14
7,1220,9
7,1221,2
7,1221,14
7,1222,11
7,1223,2
7,1224,2
7,1225,12
7,1226,2
7,1226,11
7,1226,12
7,1226,14
7,1227,11
7,1228,9
7,1229,10
7,1230,12
7,1231,5
7,1232,1
7,1233,1
7,1233,5
7,1233,14
7,1234,12
7,1235,5
7,1235,10
7,1235,12
6,1236,11
7,1237,2
7,1238,1
7,1238,12
7,1239,2
7,1240,12
7,1241,12
5,1242,7
7,1243,5
7,1244,9
7,1244,13
7,1245,14
7,1246,13
7,1247,12
7,1248,1
7,1249,14
7,1250,13
7,1251,5
7,1252,2
7,1253,9
7,1254,2
7,1255,5
7,1255,9
7,1256,11
3,1257,5
7,1258,5
7,1258,14
7,1259,1
7,1259,13
7,1260,11
7,1260,15
2,1261,7
7,1262,11
7,1262,15
7,1263,11
2,1264,4
7,1265,12
7,1266,11
7,1266,12
7,1266,13
7,1267,2
7,1268,2
7,1269,5
7,1269,10
7,1270,2
7,1271,2
1,1272,3
7,1273,1
7,1273,9
7,1274,1
7,1275,13
7,1276,9
7,1277,12
7,1277,13
7,1278,14
7,1279,1
7,1279,13
2,1280,4
7,1281,5
7,1282,2
7,1282,12
7,1283,2
7,1284,2
7,1285,9
7,1285,11
7,1286,1
7,1287,11
7,1288,2
7,1289,1
7,1290,11
7,1291,13
7,1292,15
7,1293,2
7,1294,1
7,1294,2
7,1295,11
7,1296,10
7,1296,11
7,1297,5
7,1298,2
7,1299,12
1,1300,3
7,1301,1
7,1301,14
7,1302,1
7,1302,9
7,1303,1
7,1304,2
7,1305,1
7,1305,2
7,1305,9
7,1306,1
7,1306,2
7,1307,9
7,1307,11
7,1308,11
2,1309,11
7,1310,2
7,1311,1
7,1312,9
7,1312,11
7,1313,5
7,1314,1
7,1315,10
7,1316,5
7,1317,1
2,1318,4
7,1319,13
1,1320,3
7,1321,10
7,1322,11
7,1323,9
7,1323,15
7,1324,9
5,1325,7
7,1326,1
7,1327,9
7,1328,1
7,1328,2
7,1329,1
7,1330,5
7,1331,1
7,1331,9
7,1332,2
7,1333,9
7,1334,13
7,1334,14
7,1334,15
7,1335,5
7,1336,2
7,1337,2
7,1338,2
7,1339,1
7,1340,5
7,1341,2
7,1342,14
7,1343,1
7,1344,14
2,1345,11
7,1346,9
7,1347,12
7,1348,1
7,1348,12
7,1349,10
7,1349,12
7,1350,2
2,1351,4
7,1352,2
7,1352,9
7,1353,1
7,1353,5
7,1353,9
7,1353,11
7,1354,2
7,1354,5
7,1354,12
7,1355,2
7,1356,10
1,1357,3
7,1358,2
7,1359,13
7,1360,9
7,1361,13
7,1362,14
7,1363,2
7,1364,1
7,1364,2
7,1365,1
7,1365,10
7,1365,11
7,1366,1
7,1366,2
7,1366,9
7,1367,13
7,1368,2
7,1369,9
7,1370,13
7,1370,14
7,1371,5
7,1372,13
7,1373,14
7,1374,9
7,1375,2
7,1376,1
7,1376,5
7,1377,12
7,1378,2
7,1378,15
7,1379,10
7,1380,5
7,1381,1
7,1382,1
7,1383,2
7,1383,9
1,1384,3
7,1385,13
7,1386,5
7,1387,2
7,1388,14
7,1389,2
7,1389,11
7,1390,1
7,1390,13
7,1390,15
3,1391,6
7,1392,1
7,1392,5
7,1393,9
7,1394,11
5,1395,2
7,1396,2
7,1397,1
7,1397,12
1,1398,3
7,1399,2
7,1400,2
7,1401,1
7,1401,5
7,1402,10
7,1403,11
7,1404,2
7,1404,11
7,1405,5
7,1406,10
7,1406,14
7,1407,12
7,1408,1
7,1408,10
7,1409,9
7,1410,12
7,1410,15
7,1411,2
7,1411,5
7,1411,11
7,1411,13
7,1412,1
7,1412,9
7,1413,11
1,1414,3
7,1415,10
7,1416,9
7,1416,10
